MAC1,MAC2,Status
FC:DB:21:6A:96:61,FC:DB:21:6A:96:62,UNASSIGNED
FC:DB:21:6A:96:63,FC:DB:21:6A:96:64,UNASSIGNED
FC:DB:21:6A:96:65,FC:DB:21:6A:96:66,UNASSIGNED
FC:DB:21:6A:96:67,FC:DB:21:6A:96:68,UNASSIGNED
FC:DB:21:6A:96:69,FC:DB:21:6A:96:70,UNASSIGNED
